2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
35507575.0,37085312.0,39258790.0,41845171.0,45238320.0,47077818.0,64456492.0,51546173.0,53939216.0,55364249.0,56657002.0,56376507.0,58266029.0,58009142.0
28560599.0,29770053.0,30161889.0,30922638.0,33121933.0,35226227.0,36705134.0,35456530.0,38609352.0,39300580.0,39577389.0,41237122.0,41200103.0,41507886.0
4418963.0,4649173.0,4914225.0,5044061.0,5449241.0,5686077.0,5746376.0,5706911.0,5809619.0,5762292.0,5803371.0,6103672.0,5957858.0,6135775.0
42191522.0,45308404.0,47423829.0,48646162.0,52412764.0,55174664.0,73739126.0,62215605.0,56650313.0,55962948.0,62380519.0,62533010.0,66204553.0,64498577.0
94632000.0,102944000.0,108233000.0,112603000.0,118050000.0,120623000.0,160456000.0,129357000.0,120254000.0,118812000.0,132786000.0,133504000.0,141020000.0,138100000.0
42684491.0,48461022.0,52298589.0,55817773.0,60292896.0,65091068.0,67946645.0,73881559.0,74379919.0,77196076.0,79172586.0,82762324.0,86457443.0,90682407.0
22470280.0,23386482.0,24275148.0,24987074.0,26889297.0,28103170.0,29784853.0,30966360.0,31846816.0,32264595.0,33498893.0,34611870.0,35664277.0,35540155.0
11345537.0,12170714.0,12708316.0,13366713.0,14128810.0,14007269.0,17203654.0,15697795.0,15906763.0,16105201.0,16544942.0,17248837.0,17925220.0,18139405.0
156947934.0,156750453.0,159770810.0,162878021.0,174302677.0,179948440.0,256210171.0,192024547.0,194071482.0,193103792.0,203686746.0,204422059.0,210739315.0,214438961.0
35370655.0,36410651.0,35830704.0,37464959.0,39198927.0,40042646.0,52721171.0,42649594.0,39208343.0,39588608.0,43863439.0,43167950.0,45031924.0,45127644.0
42755707.0,44631663.0,47390894.0,49318319.0,53410257.0,56479279.0,75142150.0,61372519.0,60425864.0,63361649.0,64012160.0,63309161.0,66335339.0,68604228.0
39735736.0,42248000.0,44634000.0,46586000.0,50265000.0,53590000.0,73635000.0,60397000.0,63212000.0,64499000.0,68303000.0,69551000.0,74223000.0,74223000.0
44038505.0,47217365.0,51086878.0,54200950.0,58894570.0,62710766.0,79232308.0,70846082.0,69998613.0,72045166.0,74459845.0,74874327.0,79695025.0,78608340.0
3367806.0,3351234.0,3282204.0,3494231.0,3760449.0,4098774.0,4548555.0,4071838.0,4117544.0,4414170.0,4437501.0,4442161.0,4516476.0,4588779.0
21284225.0,22233578.0,23128660.0,23251228.0,25672515.0,26964963.0,35671506.0,29728194.0,30387476.0,30843547.0,32241566.0,32125690.0,33134078.0,32867738.0
5786167.0,5859807.0,6027579.0,6272142.0,6432403.0,6878547.0,8227379.0,7734833.0,7902846.0,8183328.0,8163226.0,8519198.0,8765855.0,9389722.0
33327056.0,35074815.0,36236183.0,37478231.0,40128977.0,41162636.0,43745733.0,45468390.0,45524362.0,47701735.0,49716236.0,50439271.0,53235992.0,54392877.0
9400653.0,9958997.0,9762266.0,10311920.0,11033361.0,11367059.0,11524609.0,11613316.0,11909344.0,11853078.0,13260002.0,13413630.0,14097174.0,13634499.0
114508548.0,121175403.0,123731669.0,130808409.0,142256785.0,145969257.0,153675894.0,160083564.0,161411159.0,164604885.0,173117163.0,174748185.0,184591078.0,190790463.0
51656700.0,52318721.0,53690177.0,56267000.0,59246000.0,62507000.0,79020000.0,70164000.0,66152000.0,67160000.0,72021000.0,75394000.0,77381000.0,77145000.0
15097916.0,16429960.0,17230288.0,19154498.0,19907714.0,21001614.0,21593555.0,22326280.0,22467474.0,22632353.0,23285508.0,24293158.0,24314383.0,24649113.0
14374330.0,15160355.0,15935719.0,16480591.0,18017381.0,18625046.0,24270424.0,21424705.0,22057089.0,22975131.0,24144507.0,24745084.0,26165008.0,27286135.0
25284532.0,25358673.0,26772132.0,28309390.0,30785351.0,33059930.0,39717632.0,36937748.0,37809305.0,37879596.0,39615890.0,40376009.0,41961871.0,42516288.0
15437134.0,16041246.0,18367018.0,18747173.0,21122475.0,22803753.0,30674741.0,26840609.0,26207478.0,27216870.0,27912746.0,28790894.0,30419090.0,30525846.0
24863064.0,25109312.0,25930720.0,27712868.0,30490000.0,32023371.0,33802453.0,31742982.0,35255529.0,34521797.0,35711515.0,36236087.0,37742762.0,39308971.0
25075852.0,27273069.0,27137605.0,28689440.0,30811412.0,31664818.0,42839809.0,35081505.0,35029994.0,35631512.0,36497815.0,36498345.0,37928248.0,37599680.0
17361699.0,18004450.0,18789813.0,19149157.0,21167759.0,21655446.0,26958853.0,23635456.0,24102428.0,24167940.0,25174301.0,25466681.0,26530771.0,
5913395.0,6236495.0,6976534.0,7481147.0,8060948.0,8607344.0,9293307.0,9678397.0,9835342.0,10042111.0,10355646.0,10583518.0,10876672.0,11246794.0
13137400.0,13979476.0,14558937.0,15237942.0,16798947.0,17247657.0,22345049.0,18701508.0,18604782.0,19306090.0,19793291.0,20216816.0,20983986.0,21094353.0
8131848.0,8362387.0,7947868.0,8562333.0,9465177.0,10401301.0,10547934.0,11137380.0,10865208.0,10843392.0,11166085.0,11017203.0,12065450.0,11560965.0
13394142.0,14217173.0,14826229.0,15783761.0,16683577.0,17789838.0,18877933.0,19460041.0,19824076.0,19839615.0,20218427.0,20746911.0,21486385.0,22117025.0
12228269.0,13038603.0,13274384.0,13701841.0,14716007.0,15621857.0,20967049.0,16790824.0,16450589.0,17752764.0,18099219.0,18493953.0,19139288.0,18932080.0
20747310.0,22951713.0,23802939.0,25028719.0,26540714.0,28727401.0,35725618.0,32504810.0,32678942.0,33466941.0,35106197.0,35982664.0,36823250.0,36249453.0
