Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
MERIDEN,141400431.0,147950414.0,157219119.0,160618455.0,167040866.0,176660066.0,211332506.0,183559446.0,176004847.0,180116507.0,193275571.0,196901495.0,195099576.0,200765068.0
MIDDLEBURY,18091471.0,19186377.0,19436785.0,21087822.0,22900502.0,26809715.0,26495178.0,25867598.0,26796943.0,27196180.0,28401295.0,28622563.0,29870464.0,29867092.0
MIDDLEFIELD,9828112.0,10299328.0,10939752.0,11632854.0,12081422.0,12672058.0,13291203.0,14120404.0,13699867.0,14565313.0,14882229.0,15320258.0,17792694.0,16345910.0
MIDDLETOWN,80281000.0,86141000.0,89577000.0,92085000.0,100403000.0,106118000.0,131652000.0,119054000.0,117250000.0,120923000.0,123518000.0,127080000.0,132429000.0,135279000.0
MILFORD,126769000.0,133616000.0,137883000.0,145724000.0,154102000.0,161842000.0,199076000.0,176771000.0,176451000.0,180806000.0,192821000.0,195604000.0,203755000.0,203465000.0
MONROE,50673349.0,52988401.0,55469401.0,58715160.0,63647780.0,67069237.0,86719803.0,73747099.0,74819797.0,77756260.0,79974017.0,80866080.0,88666632.0,84446203.0
MONTVILLE,41651268.0,43925563.0,45743048.0,45930598.0,49622329.0,53475367.0,58737124.0,58746734.0,57617236.0,58726270.0,57750668.0,59823348.0,60331560.0,61078513.0
MORRIS,6036996.0,6297018.0,6682198.0,6967600.0,7381020.0,7769597.0,7800124.0,8030378.0,7866630.0,7900391.0,8052492.0,8334575.0,8296784.0,8535398.0
NAUGATUCK,73248145.0,77780292.0,132880744.0,85501598.0,90112701.0,95317043.0,115505108.0,105257094.0,99723011.0,98635533.0,105891700.0,107811139.0,112695401.0,114145415.0
NEW BRITAIN,149583000.0,158684000.0,169128000.0,172930000.0,181618000.0,180101000.0,221139000.0,190516000.0,188565000.0,215871000.0,241343000.0,235242000.0,249193000.0,228633000.0
NEW CANAAN,73846655.0,80816377.0,85773689.0,91317970.0,98863047.0,106085357.0,115635545.0,119841324.0,118721020.0,125237128.0,128498109.0,134536253.0,140102256.0,145372135.0
NEW FAIRFIELD,34737993.0,36353839.0,38042396.0,39378752.0,41655643.0,42808477.0,44781589.0,46158286.0,47104937.0,49204303.0,52193922.0,52946586.0,54192123.0,54865530.0
