Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010
LISBON,2195627.0,1418395.0,1391979.0,1319420.0,1026886.0,963424.0,1106803.0,1119702.0,1481846.0
LITCHFIELD,1548925.0,1875950.0,2487235.0,2886000.0,3457000.0,4013000.0,3751000.0,3952000.0,3663000.0
LYME,920818.0,770645.0,704181.0,559332.0,290424.0,579388.0,792738.0,655593.0,615508.0
MADISON,7089916.0,6854982.0,8407182.0,6336359.0,6709041.0,6813540.0,7257665.0,8067092.0,8183156.0
MANCHESTER,5125000.0,4815000.0,6404000.0,7514000.0,8352000.0,9446000.0,9866000.0,10363000.0,9357000.0
MANSFIELD,1055295.0,995185.0,1016080.0,1568102.0,1661693.0,1769124.0,1830202.0,1824737.0,1865895.0
MARLBOROUGH,1688870.0,2013534.0,1598674.0,1636038.0,1849552.0,1727666.0,2012825.0,1869693.0,1870321.0
MERIDEN,3145566.0,6777526.0,1824861.0,1832923.0,3009203.0,3643968.0,3960834.0,12267025.0,12321056.0
MIDDLEBURY,1280065.0,1232847.0,1850185.0,2886175.0,3342683.0,3350117.0,3220663.0,3401817.0,3295137.0
MIDDLEFIELD,426574.0,652188.0,876542.0,749329.0,1021134.0,725060.0,708247.0,822086.0,1034169.0
MIDDLETOWN,4828000.0,4729000.0,5117000.0,7728000.0,11304000.0,14149000.0,13776000.0,11313000.0,11929000.0
MILFORD,8238000.0,8558000.0,9840000.0,10340000.0,11298000.0,11429000.0,14205000.0,12320000.0,12462000.0
MONROE,4319251.0,4413508.0,2738281.0,1502110.0,1417201.0,1771688.0,2315814.0,3013247.0,3179250.0
MONTVILLE,2929911.0,3069628.0,2613647.0,3505546.0,6049413.0,5980685.0,5730440.0,5710673.0,3361486.0
MORRIS,27930.0,84499.0,67690.0,322074.0,536040.0,641356.0,784208.0,843937.0,1050413.0
NAUGATUCK,6241391.0,6606993.0,6904635.0,6536703.0,8275919.0,8689542.0,8454584.0,8895345.0,9665816.0
NEW BRITAIN,5177000.0,5742000.0,6586000.0,7989000.0,8980000.0,8996000.0,9749000.0,7212000.0,7655000.0
NEW CANAAN,4209316.0,6257372.0,7991577.0,8860767.0,9934442.0,10466167.0,10083360.0,13781347.0,15561697.0
NEW FAIRFIELD,2852628.0,3281368.0,3794843.0,4435985.0,5451158.0,6120903.0,6663253.0,7726194.0,7569794.0
NEW HARTFORD,1098233.0,1889252.0,1942940.0,1881757.0,2019288.0,2211834.0,2741219.0,2912396.0,2844821.0
NEW HAVEN,17658226.0,12503197.0,12948501.0,12979396.0,13023677.0,14722550.0,15508258.0,16025789.0,9177717.0
NEW LONDON,5849652.0,5783692.0,4610303.0,3386897.0,6760971.0,9167725.0,5970592.0,6113860.0,6298191.0
NEW MILFORD,6608892.0,6360747.0,7726610.0,8334231.0,10658897.0,9976157.0,7357734.0,9608315.0,10702392.0
NEWINGTON,7278385.0,7799000.0,7490000.0,8824000.0,9687000.0,10943000.0,12072000.0,12744000.0,13898000.0
NEWTOWN,2703634.0,2326992.0,2467236.0,2312535.0,3363961.0,2619306.0,7821198.0,7636522.0,6903051.0
NORFOLK,699399.0,805348.0,874353.0,852354.0,975103.0,903218.0,1166028.0,1087225.0,1135099.0
NORTH BRANFORD,2103327.0,2537937.0,2475607.0,3323028.0,3721750.0,3919385.0,4184693.0,4816628.0,5301749.0
NORTH CANAAN,570946.0,676878.0,293934.0,104394.0,263573.0,490479.0,597951.0,782833.0,1032459.0
NORTH HAVEN,7244988.0,7001767.0,4036291.0,4629149.0,6893520.0,8737642.0,6255449.0,6906503.0,8369274.0
NORTH STONINGTON,1215301.0,1163968.0,1090478.0,1566222.0,1262789.0,1320085.0,1243477.0,1227530.0,1503855.0
NORWALK,11730460.0,16127483.0,20085567.0,30863058.0,32358919.0,35645754.0,36231225.0,29388599.0,28509910.0
NORWICH,8158087.0,8770626.0,9302144.0,9339000.0,9330000.0,9631000.0,9476000.0,8816000.0,9834000.0
OLD LYME,2837866.0,2872797.0,2380532.0,1856826.0,1912979.0,2404322.0,3240461.0,2677398.0,3468375.0
OLD SAYBROOK,2331295.0,2203766.0,2332942.0,1651894.0,2584259.0,3113842.0,1993888.0,2179073.0,2100885.0
ORANGE,2448375.0,3920559.0,4773641.0,6230341.0,8192391.0,9112227.0,8518687.0,7258818.0,7387488.0
OXFORD,2396867.0,3034183.0,3643970.0,4826263.0,5035195.0,3183801.0,4258889.0,3927332.0,3721589.0
PLAINFIELD,3262149.0,2978141.0,2747048.0,3089083.0,4895175.0,5382148.0,5035251.0,5423354.0,4391052.0
PLAINVILLE,4138402.0,4454356.0,3850672.0,4516216.0,4485406.0,3967344.0,3000378.0,1778513.0,1481702.0
PLYMOUTH,1150515.0,1218289.0,1254094.0,1478219.0,1581952.0,1871019.0,1907108.0,2119240.0,2134881.0
POMFRET,940852.0,985279.0,1012187.0,843756.0,922119.0,1052676.0,854304.0,659432.0,649537.0
PORTLAND,797885.0,804241.0,1022880.0,971788.0,1089526.0,2224323.0,2576202.0,2648971.0,3224609.0
PRESTON,1049832.0,789460.0,1084785.0,1134635.0,1144974.0,1412469.0,1414126.0,1450782.0,1401363.0
PROSPECT,786538.0,507088.0,529275.0,301689.0,202671.0,416989.0,475489.0,265617.0,201245.0
PUTNAM,2051212.0,1580654.0,1989785.0,2132328.0,2124848.0,1862456.0,1667765.0,1518561.0,1733737.0
REDDING,3263609.0,3349790.0,3442400.0,3233790.0,2178389.0,395883.0,398651.0,1786776.0,3489368.0
RIDGEFIELD,7200249.0,6583207.0,7164646.0,5386239.0,7696456.0,7641661.0,7904484.0,7826306.0,8417747.0
ROCKY HILL,3305577.0,2397288.0,3032388.0,2632839.0,3691672.0,3400394.0,3443782.0,3573223.0,3526770.0
ROXBURY,1262164.0,1642878.0,2152051.0,1851024.0,1747244.0,1971499.0,1923869.0,1428938.0,1415966.0
SALEM,1362967.0,1104123.0,1224513.0,1545710.0,1725417.0,1930416.0,1516456.0,953691.0,1459808.0
SALISBURY,619578.0,996884.0,859693.0,1320150.0,1482801.0,1360164.0,1245049.0,1143395.0,1301240.0
SCOTLAND,766222.0,693815.0,689356.0,540704.0,496915.0,733037.0,470124.0,535534.0,283167.0
SEYMOUR,3835047.0,3732736.0,2515685.0,2969333.0,3722387.0,4231278.0,4239540.0,2562555.0,2879331.0
SHARON,601174.0,930746.0,1074869.0,561123.0,982750.0,1430901.0,1488996.0,1132970.0,1102318.0
SHELTON,4249370.0,1980195.0,138082.0,1697946.0,4364022.0,6366937.0,6758145.0,4658287.0,4324097.0
SHERMAN,863080.0,1004490.0,846481.0,325705.0,563166.0,706436.0,961145.0,1317297.0,1686607.0
SIMSBURY,4229810.0,5808871.0,6579364.0,8007752.0,8887767.0,7605026.0,7644660.0,8000965.0,8969564.0
SOMERS,3247331.0,2326421.0,2736258.0,3199055.0,2963216.0,3652543.0,4539346.0,4823278.0,4166099.0
SOUTH WINDSOR,3987740.0,2879743.0,3109682.0,4371705.0,4406280.0,4951890.0,5060669.0,3312854.0,4474518.0
SOUTHBURY,7099855.0,5670772.0,3520033.0,3685962.0,2450242.0,690883.0,325825.0,904864.0,704013.0
SOUTHINGTON,6791035.0,5100000.0,4500000.0,6655000.0,7359000.0,8487000.0,9361000.0,10758000.0,12681000.0
SPRAGUE,43446.0,1239713.0,782109.0,1927591.0,1482328.0,1258827.0,1265386.0,1190476.0,1135404.0
STAFFORD,2798701.0,2328222.0,2387966.0,2344658.0,3644745.0,3969845.0,3045759.0,2515468.0,1794382.0
STAMFORD,1112479.0,0.0,8184752.0,8557310.0,6768698.0,5385316.0,0.0,0.0,3250592.0
STERLING,1192232.0,1132423.0,946746.0,872635.0,1032306.0,2006616.0,2309963.0,2072334.0,1991702.0
STONINGTON,1599562.0,3003890.0,4447477.0,5753353.0,7101385.0,8105750.0,9640666.0,10247329.0,11297267.0
STRATFORD,0.0,0.0,0.0,0.0,7231647.0,8148448.0,8220440.0,8438330.0,6603938.0
SUFFIELD,7082427.0,6816404.0,6714329.0,7552174.0,6916309.0,7408381.0,8129435.0,9384932.0,7556200.0
