Municipality,2011,2012,2013,2014,2015
WEST HARTFORD,17881000.0,17831000.0,18931000.0,19653000.0,20621000.0
WEST HAVEN,-11544797.0,-14471990.0,-13313968.0,-10254844.0,-16313098.0
WESTBROOK,2956343.0,3951075.0,3714727.0,3008424.0,4190266.0
WESTON,8112718.0,8884971.0,9310310.0,10697573.0,11707430.0
WESTPORT,21291908.0,20512849.0,26158189.0,26132360.0,24785716.0
WETHERSFIELD,7112866.0,8910168.0,9311165.0,10247688.0,10725165.0
WILLINGTON,1450023.0,1876686.0,1946688.0,1946264.0,1588620.0
WILTON,14801942.0,16274248.0,14718189.0,17702065.0,15326862.0
WINCHESTER,112527.0,-1426982.0,-1205348.0,3526109.0,5163031.0
WINDHAM,8332372.0,8460903.0,10109251.0,11092506.0,11453914.0
WINDSOR,14938155.0,15316230.0,16928714.0,17347987.0,18974637.0
WINDSOR LOCKS,8950970.0,9468965.0,10200012.0,11874539.0,10823912.0
WOLCOTT,2335382.0,2542999.0,2911362.0,3449415.0,3755615.0
WOODBRIDGE,4724440.0,4929830.0,4821442.0,4484043.0,4591338.0
WOODBURY,2455943.0,2571326.0,3039501.0,3088107.0,3378697.0
WOODSTOCK,1903322.0,2138725.0,2692044.0,2828567.0,3022661.0
