Municipality,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
OXFORD,23993675.0,24896489.0,27577230.0,29056989.0,32101396.0,33099294.0,44148160.0,38980310.0,39261493.0,40815489.0,42718153.0,44190396.0,46017760.0,46460320.0
PLAINFIELD,34230150.0,33822103.0,33691350.0,35757771.0,40383366.0,41268048.0,43984903.0,44662423.0,44570590.0,44594066.0,47856935.0,47189996.0,48893663.0,51239143.0
PLAINVILLE,40952623.0,43204959.0,44490440.0,45401097.0,48683949.0,51101404.0,61099968.0,53189882.0,52756921.0,55606826.0,57075385.0,58926610.0,60083483.0,59578204.0
PLYMOUTH,29716391.0,30043827.0,30978169.0,33546791.0,35226497.0,36156238.0,42323582.0,38875221.0,38830430.0,38869629.0,40453516.0,40810009.0,42564272.0,
POMFRET,8594608.0,8637119.0,9582747.0,10058834.0,10454079.0,10868870.0,11511974.0,11895647.0,11769781.0,12066024.0,12634109.0,13019591.0,13523183.0,13819838.0
PORTLAND,21571965.0,22150011.0,23593153.0,25045943.0,27127013.0,28029065.0,33600058.0,29466703.0,29964504.0,30875614.0,32127450.0,32474671.0,32710977.0,33450128.0
PRESTON,11022651.0,10654218.0,10883801.0,12065675.0,13278612.0,14019914.0,14572942.0,14787403.0,14543996.0,15109938.0,15644869.0,15862316.0,16298468.0,16078431.0
PROSPECT,18971748.0,19610003.0,20575094.0,21601221.0,22788181.0,24229116.0,25610842.0,26185187.0,26275258.0,27455577.0,27509182.0,28263522.0,29173307.0,30060866.0
PUTNAM,18087856.0,18308304.0,17630101.0,20060993.0,19643492.0,19529518.0,25147984.0,21482492.0,21805421.0,22584315.0,23310596.0,24142205.0,24576186.0,24762837.0
REDDING,28659427.0,32076729.0,32558301.0,34372716.0,37201345.0,37614131.0,45695825.0,45293790.0,45810093.0,47713943.0,48441769.0,50528657.0,50860131.0,51182117.0
RIDGEFIELD,79362763.0,85366914.0,94698861.0,100793122.0,110914321.0,115838164.0,142818165.0,124842865.0,126600605.0,128725423.0,137971648.0,134883793.0,140890400.0,143866822.0
ROCKY HILL,39456123.0,41962333.0,43251429.0,47738678.0,49881571.0,54412949.0,65613238.0,58746192.0,59138354.0,61405220.0,63826221.0,67892323.0,70428000.0,72019191.0
ROXBURY,6671209.0,6960334.0,7983941.0,8197795.0,8344086.0,8670844.0,8864633.0,8779621.0,8690094.0,8964885.0,9464593.0,9875796.0,9940141.0,9954919.0
SALEM,10386272.0,10624679.0,11535501.0,11796500.0,12853451.0,13633319.0,15453328.0,14242803.0,14254426.0,14531258.0,14942507.0,15472354.0,15811096.0,16185118.0
SALISBURY,9832114.0,10101056.0,10272309.0,11032225.0,11645203.0,11980001.0,13151781.0,12190299.0,12526977.0,13069748.0,13772590.0,13492129.0,13887956.0,14424717.0
SCOTLAND,4337458.0,4052220.0,4327588.0,4566609.0,5063479.0,5282516.0,5221284.0,5502735.0,5130628.0,5892120.0,5865842.0,5949974.0,6029452.0,6094488.0
SEYMOUR,38724793.0,38760964.0,40592933.0,42599743.0,46711038.0,48469035.0,58459559.0,49307382.0,47388875.0,50058897.0,54222888.0,55528100.0,56791772.0,58304783.0
SHARON,6975078.0,7476400.0,7783014.0,7804722.0,8810294.0,8951356.0,9906117.0,9296698.0,9669326.0,10009963.0,10514774.0,10526550.0,11152815.0,10735764.0
SHELTON,81532971.0,81814808.0,80944925.0,87984457.0,96511265.0,101227508.0,124973147.0,110671832.0,111694031.0,113483225.0,116364658.0,119137983.0,123167743.0,121073698.0
SHERMAN,8699006.0,9108564.0,9899546.0,10039224.0,10977736.0,11960779.0,14161944.0,12789974.0,12674887.0,13092722.0,13300390.0,13884544.0,14677745.0,14977813.0
SIMSBURY,61574176.0,66596286.0,70257014.0,72902251.0,79027965.0,83268944.0,106086589.0,90131255.0,91566355.0,92590066.0,94833517.0,97137998.0,99794245.0,98216557.0
SOMERS,22289945.0,22074712.0,22991954.0,24307520.0,26774215.0,27963882.0,36288084.0,30667411.0,28636986.0,29008065.0,32029576.0,32441434.0,32941084.0,33257780.0
SOUTH WINDSOR,66622205.0,69530478.0,73781044.0,76922700.0,82301954.0,86538113.0,108461737.0,94595739.0,96675371.0,98652239.0,101752531.0,104583233.0,110615994.0,111719918.0
SOUTHBURY,41417839.0,42198202.0,45220487.0,49039593.0,52880185.0,56306739.0,58278544.0,59547291.0,58574073.0,59826569.0,60790250.0,60227211.0,60253578.0,62919891.0
SOUTHINGTON,88917154.0,89192000.0,93546000.0,101358000.0,108823000.0,111619000.0,141161000.0,123586000.0,125326000.0,129563000.0,134749000.0,138333000.0,141396000.0,144100000.0
SPRAGUE,6316876.0,8044193.0,6691355.0,7802810.0,8034395.0,8754828.0,8880935.0,8623820.0,8641039.0,8377899.0,8890022.0,8873509.0,9273811.0,9019812.0
STAFFORD,27922138.0,28113181.0,27897871.0,29817809.0,32545631.0,32978663.0,41117308.0,35572463.0,35092453.0,36268450.0,37765410.0,40410347.0,41652637.0,41624778.0
STAMFORD,316619272.0,330045168.0,361647956.0,367435215.0,389612700.0,408263643.0,442328318.0,458840376.0,462646616.0,476130068.0,497505346.0,512394133.0,536955206.0,544435260.0
STERLING,6692308.0,6934232.0,7274310.0,8171426.0,9149123.0,10035502.0,10403037.0,10585184.0,10500066.0,10945632.0,11006706.0,11189963.0,11629061.0,11786287.0
STONINGTON,40540953.0,42327372.0,44201169.0,46439517.0,50804955.0,53468893.0,56442940.0,55243319.0,55676228.0,56632935.0,58286738.0,59639677.0,61507006.0,62246533.0
STRATFORD,129594496.0,134638111.0,146608044.0,153846545.0,159438873.0,170775083.0,206777211.0,182651151.0,179289910.0,189575934.0,197726616.0,204674279.0,206367490.0,212990275.0
SUFFIELD,31799419.0,33961409.0,35440314.0,37907022.0,40852232.0,44426176.0,57015218.0,50398184.0,48599920.0,50256926.0,55222780.0,55005844.0,56217727.0,56288342.0
